service,operation,status_code,error_code,error_message,is_implemented
apigateway,CreateRestApi,500,InternalError,"exception while calling apigateway.CreateRestApi: Traceback (most recent call last):
  File ""/opt/code/localstack/localstack/aws/chain.py"", line 90, in handle
    handler(self, self.context, response)
  File ""/opt/code/localstack/localstack/aws/handlers/service.py"", line 122, in __call__
    handler(chain, context, response)
  File ""/opt/code/localstack/localstack/aws/handlers/service.py"", line 92, in __call__
    skeleton_response = self.skeleton.invoke(context)
  File ""/opt/code/localstack/localstack/aws/skeleton.py"", line 153, in invoke
    return self.dispatch_request(context, instance)
  File ""/opt/code/localstack/localstack/aws/skeleton.py"", line 165, in dispatch_request
    result = handler(context, instance) or {}
  File ""/opt/code/localstack/localstack/aws/forwarder.py"", line 60, in _call
    return handler(context, req)
  File ""/opt/code/localstack/localstack/aws/skeleton.py"", line 117, in __call__
    return self.fn(*args, **kwargs)
  File ""/opt/code/localstack/localstack/aws/api/core.py"", line 151, in operation_marker
    return fn(*args, **kwargs)
  File ""/opt/code/localstack/localstack/services/apigateway/provider.py"", line 110, in create_rest_api
    result = call_moto(context)
  File ""/opt/code/localstack/localstack/services/moto.py"", line 46, in call_moto
    return dispatch_to_backend(context, dispatch_to_moto, include_response_metadata)
  File ""/opt/code/localstack/localstack/aws/forwarder.py"", line 120, in dispatch_to_backend
    http_response = http_request_dispatcher(context)
  File ""/opt/code/localstack/localstack/services/moto.py"", line 111, in dispatch_to_moto
    response = dispatch(request, request.url, request.headers)
  File ""/opt/code/localstack/.venv/lib/python3.10/site-packages/moto/apigateway/responses.py"", line 101, in restapis
    return 200, {}, json.dumps(rest_api.to_dict())
  File ""/opt/code/localstack/localstack/services/apigateway/patches.py"", line 401, in apigateway_models_RestAPI_to_dict
    resp[""policy""] = json.dumps(json.dumps(json.loads(self.policy), separators=("","", "":"")))[
  File ""/usr/local/lib/python3.10/json/__init__.py"", line 346, in loads
    return _default_decoder.decode(s)
  File ""/usr/local/lib/python3.10/json/decoder.py"", line 337, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File ""/usr/local/lib/python3.10/json/decoder.py"", line 355, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
",True
apigateway,CreateStage,404,NotFoundException,Invalid Rest API Id specified,True
apigateway,CreateUsagePlan,201,,,True
apigateway,CreateUsagePlanKey,404,NotFoundException,Invalid API Key identifier specified,True
apigateway,CreateVpcLink,202,,,True
apigateway,DeleteApiKey,500,InternalError,"exception while calling apigateway.DeleteApiKey: Traceback (most recent call last):
  File ""/opt/code/localstack/localstack/aws/chain.py"", line 90, in handle
    handler(self, self.context, response)
  File ""/opt/code/localstack/localstack/aws/handlers/service.py"", line 122, in __call__
    handler(chain, context, response)
  File ""/opt/code/localstack/localstack/aws/handlers/service.py"", line 92, in __call__
    skeleton_response = self.skeleton.invoke(context)
  File ""/opt/code/localstack/localstack/aws/skeleton.py"", line 153, in invoke
    return self.dispatch_request(context, instance)
  File ""/opt/code/localstack/localstack/aws/skeleton.py"", line 165, in dispatch_request
    result = handler(context, instance) or {}
  File ""/opt/code/localstack/localstack/aws/forwarder.py"", line 67, in _call
    return fallthrough_handler(context, req)
  File ""/opt/code/localstack/localstack/services/moto.py"", line 83, in _proxy_moto
    return call_moto(context)
  File ""/opt/code/localstack/localstack/services/moto.py"", line 46, in call_moto
    return dispatch_to_backend(context, dispatch_to_moto, include_response_metadata)
  File ""/opt/code/localstack/localstack/aws/forwarder.py"", line 120, in dispatch_to_backend
    http_response = http_request_dispatcher(context)
  File ""/opt/code/localstack/localstack/services/moto.py"", line 111, in dispatch_to_moto
    response = dispatch(request, request.url, request.headers)
  File ""/opt/code/localstack/.venv/lib/python3.10/site-packages/moto/apigateway/responses.py"", line 606, in apikey_individual
    self.backend.delete_api_key(apikey)
  File ""/opt/code/localstack/.venv/lib/python3.10/site-packages/moto/apigateway/models.py"", line 2077, in delete_api_key
    self.keys.pop(api_key_id)
KeyError: 'proton'
",True
apigateway,DeleteAuthorizer,202,,,True
apigateway,DeleteBasePathMapping,404,NotFoundException,Base path mapping umlaut for domain except not found,True
apigateway,DeleteClientCertificate,404,NotFoundException,"VPC link ID ""global"" not found for deletion",True
apigateway,DeleteDeployment,404,NotFoundException,Invalid Rest API Id specified,True
